rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/policy_gradient_loss,train/std,train/learning_rate,train/clip_fraction,train/n_updates,train/entropy_loss,train/loss,train/clip_range,train/approx_kl,train/explained_variance,train/value_loss
-107.18624877929688,2775,1,538.1538461538462,8192,2,,,,,,,,,,,
-108.82240295410156,1657,2,499.58620689655174,16384,9,-0.005019839284796035,0.9994556903839111,0.0003,0.08125,10,-5.6737035270780325,57.069129943847656,0.2,0.00721443,0.002717256546020508,63.908585268817845
-109.62779998779297,1440,3,558.3684210526316,24576,17,-0.005240835688528023,1.0038994550704956,0.0003,0.05950927734375,20,-5.677241384983063,25.46980094909668,0.2,0.0069642644,0.2980149984359741,65.90791616532951
-109.89215087890625,1136,4,586.156862745098,32768,28,-0.00353174002157175,0.9924927353858948,0.0003,0.11566162109375,30,-5.662251200899481,0.8017753958702087,0.2,0.009455675,0.4269387125968933,28.244312821468338
-109.2022933959961,621,5,563.8636363636364,40960,65,-0.005051044566334895,0.9910001754760742,0.0003,0.06602783203125,40,-5.639138620346785,8.27862548828125,0.2,0.007990574,0.6786340475082397,33.28432989126304
-109.03134155273438,488,6,523.8876404494382,49152,100,-0.005438178394342685,0.9864328503608704,0.0003,0.0721923828125,50,-5.628519085422158,6.798206329345703,0.2,0.00869526,0.8304931819438934,21.7719591261819
-108.33586883544922,471,7,562.0816326530612,57344,121,-0.004277853048552061,0.9845587015151978,0.0003,0.04066162109375,60,-5.613399001955986,8.744843482971191,0.2,0.0050620344,0.7927405685186386,36.28971580872312
-108.21636962890625,507,8,553.72,65536,129,-0.00412145195332414,0.9730137586593628,0.0003,0.12757568359375,70,-5.583972273766994,4.721273899078369,0.2,0.009771146,0.9288948029279709,4.493592357903253
-108.08541870117188,541,9,599.57,73728,136,-0.003106547590050468,0.9699496626853943,0.0003,0.0965087890625,80,-5.560105779021979,4.254733562469482,0.2,0.0060489913,0.8754098266363144,9.43316089793807
-107.37924194335938,571,10,643.46,81920,143,-0.0032439097896713063,0.9498742818832397,0.0003,0.15845947265625,90,-5.495386544987559,0.41336938738822937,0.2,0.00960144,0.9235679656267166,1.5731026225315872
-106.38681030273438,600,11,613.06,90112,150,-0.0030712470245816805,0.9503127932548523,0.0003,0.01744384765625,100,-5.468995690718293,1.515514850616455,0.2,0.003520602,0.8074751645326614,14.60582974392455
-105.58024597167969,625,12,674.56,98304,157,-0.00283073870023145,0.9464437365531921,0.0003,0.0237060546875,110,-5.464846322312951,4.765883445739746,0.2,0.004284835,0.8989670872688293,10.10222952532349
-105.28508758544922,647,13,703.58,106496,164,-0.004690141086757649,0.9272118210792542,0.0003,0.13116455078125,120,-5.385235107317567,0.0407148152589798,0.2,0.00888722,0.39142894744873047,0.39082075603073463
-104.40575408935547,668,14,748.8,114688,171,-0.0036598425086594943,0.9238408803939819,0.0003,0.11412353515625,130,-5.364203541725874,2.2157578468322754,0.2,0.009327743,0.900558590888977,5.499122855745372
-103.15890502929688,687,15,764.14,122880,178,-0.004349142111459514,0.9155516624450684,0.0003,0.1510009765625,140,-5.332540979608893,1.1633408069610596,0.2,0.013156932,0.9402711950242519,1.023912683458184
-101.56620025634766,704,16,838.75,131072,186,-0.002824640906874265,0.911467969417572,0.0003,0.0819091796875,150,-5.312521767988801,2.106855630874634,0.2,0.0077073285,0.9257392957806587,4.088409174472327
-99.8705825805664,722,17,900.59,139264,192,-0.004203608723037178,0.9061141610145569,0.0003,0.16044921875,160,-5.283860162273049,1.9585429430007935,0.2,0.01149122,0.9008444920182228,2.05355750322924
-98.34761810302734,735,18,930.55,147456,200,-0.0055726946846334615,0.8926939368247986,0.0003,0.1400634765625,170,-5.238814532384277,0.024278024211525917,0.2,0.011428985,0.3665493130683899,1.053611111213104
-96.78528594970703,685,19,960.33,155648,226,-0.0048599036676023385,0.8790414929389954,0.0003,0.114990234375,180,-5.17523475587368,0.11432094871997833,0.2,0.010592613,0.9156837165355682,0.4688811019383138
-93.7268295288086,621,20,1005.2,163840,263,-0.005522448392912338,0.8778029680252075,0.0003,0.0845703125,190,-5.155610879138112,0.18969035148620605,0.2,0.009179924,0.8900667428970337,2.1545817456266376
-91.3081283569336,611,21,1020.67,172032,281,-0.006094035954447463,0.8613958358764648,0.0003,0.11656494140625,200,-5.107965099811554,0.3217843472957611,0.2,0.011798654,0.5986365079879761,0.4897071544430219
-88.88194274902344,623,22,1035.94,180224,289,-0.007975256008830912,0.8371298909187317,0.0003,0.14095458984375,210,-5.003165801614523,0.13156002759933472,0.2,0.012514615,0.9620251767337322,0.6372063210117631
-84.45425415039062,635,23,1096.24,188416,296,-0.0036773270530829905,0.8167675137519836,0.0003,0.12119140625,220,-4.9067245975136755,0.05105558782815933,0.2,0.010739498,0.9464159049093723,0.6330936481361278
-81.18321228027344,649,24,1127.11,196608,302,-0.007301922296755947,0.7997506260871887,0.0003,0.12584228515625,230,-4.800589781627059,0.04037083685398102,0.2,0.01173001,0.615980327129364,0.16282810231205075
-77.26484680175781,662,25,1157.48,204800,308,-0.006648275904444745,0.7862358689308167,0.0003,0.139892578125,240,-4.738859181851149,0.13763783872127533,0.2,0.010504683,0.9098148196935654,0.4621404144563712
